HJD-2450000	I_Mag	Err
5660.872080000117	16.341	0.008
5662.724779999815	16.346	0.009
5662.765149999876	16.347	0.008
5662.826900000218	16.341	0.007
5662.865050000139	16.341	0.006
5662.907010000199	16.354	0.007
5663.767740000039	16.345	0.005
5664.770179999992	16.352	0.008
5664.810990000144	16.353	0.007
5664.871400000062	16.334	0.008
5664.915049999952	16.353	0.007
5665.739049999975	16.366	0.009
5665.78487000009	16.356	0.006
5665.849200000055	16.341	0.007
5665.896769999992	16.347	0.006
5667.720960000064	16.345	0.007
5667.773550000042	16.339	0.007
5667.826009999961	16.374	0.006
5667.878709999844	16.353	0.006
5667.924360000063	16.361	0.006
5668.76249000011	16.365	0.008
5668.829969999846	16.366	0.008
5668.887079999782	16.362	0.007
5668.92621999979	16.35	0.007
5669.775820000097	16.346	0.006
5669.8145699999295	16.345	0.007
5669.87659	16.352	0.007
5669.920599999838	16.348	0.008
5670.750359999947	16.355	0.008
5670.802579999901	16.328	0.007
5670.854739999864	16.355	0.007
5670.89617000008	16.363	0.007
5671.731730000116	16.35	0.008
5671.772179999854	16.341	0.006
5675.734250000212	16.353	0.007
5675.772609999869	16.354	0.008
5675.811970000155	16.366	0.009
5675.8713299999945	16.345	0.006
5675.924260000233	16.354	0.007
5676.699229999911	16.356	0.004
5676.7384000001475	16.357	0.005
5676.777269999962	16.346	0.006
5676.827639999799	16.326	0.006
5676.878149999771	16.349	0.006
5676.927569999825	16.341	0.006
5677.733349999879	16.347	0.006
5677.776949999854	16.358	0.006
5677.827339999843	16.345	0.007
5677.879319999833	16.342	0.006
5677.919209999964	16.333	0.006
5679.697219999973	16.353	0.007
5679.739120000042	16.373	0.006
5679.791069999803	16.366	0.007
5679.842120000161	16.34	0.007
5679.88348999992	16.361	0.006
5679.922410000116	16.352	0.006
5680.6847199997865	16.362	0.007
5680.7231399999	16.346	0.008
5680.771809999831	16.363	0.007
5680.825050000101	16.364	0.007
5680.86800999986	16.365	0.007
5680.908809999935	16.341	0.006
5681.675119999796	16.346	0.008
5681.713339999784	16.338	0.007
5681.752630000003	16.331	0.006
5681.803520000074	16.36	0.007
5681.858570000157	16.362	0.009
5681.900249999948	16.351	0.007
5682.662490000017	16.353	0.007
5682.703300000168	16.347	0.007
5682.750570000149	16.365	0.006
5682.79310999997	16.357	0.007
5682.883150000125	16.353	0.006
5682.922830000054	16.351	0.006
5683.684539999813	16.358	0.007
5683.734060000163	16.353	0.007
5683.803890000097	16.354	0.006
5683.862249999773	16.353	0.007
5683.904399999883	16.361	0.006
5684.654099999927	16.363	0.006
5684.70708000008	16.365	0.006
5684.766230000183	16.345	0.006
5684.81866999995	16.362	0.007
5684.878060000017	16.369	0.006
5684.918990000151	16.343	0.006
5685.744779999834	16.358	0.006
5685.793349999934	16.341	0.006
5685.845720000099	16.355	0.006
5685.889140000101	16.359	0.006
5685.9394800001755	16.338	0.013
5686.694019999821	16.359	0.007
5686.742759999819	16.344	0.006
5686.800129999872	16.356	0.006
5686.847449999768	16.371	0.007
5686.889390000142	16.351	0.008
5686.929130000062	16.352	0.007
5687.686089999974	16.347	0.008
5687.729150000028	16.349	0.007
5687.779959999956	16.351	0.007
5687.833219999913	16.353	0.005
5688.846049999818	16.348	0.006
5688.914069999941	16.351	0.008
5689.686509999912	16.346	0.006
5689.751379999798	16.346	0.007
5689.800700000022	16.353	0.006
5690.621590000112	16.364	0.005
5690.667679999955	16.37	0.006
5690.718640000094	16.36	0.006
5690.780979999807	16.342	0.007
5690.820830000099	16.365	0.006
5690.88396999985	16.353	0.008
5691.646420000121	16.378	0.008
5691.707779999822	16.342	0.006
5691.758229999803	16.347	0.007
5691.802540000062	16.353	0.007
5691.851050000172	16.362	0.007
5691.908189999871	16.359	0.008
5692.649499999825	16.348	0.008
5692.706400000025	16.334	0.007
5692.753690000158	16.349	0.006
5692.791650000028	16.35	0.006
5692.8319899998605	16.349	0.008
5692.870649999939	16.36	0.006
